title,release_date,budget,revenue,vote_count,vote_average,runtime,id,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western
Elysium,2013-08-07,115000000,286140700,7876,6.49,109,68724,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
We're the Millers,2013-08-07,37000000,269994119,7864,6.792,110,138832,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hangover Part III,2013-05-23,103000000,362000072,7741,6.213,100,109439,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas Buyers Club,2013-11-01,5000000,55736588,7710,7.933,117,152532,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Purge,2013-05-31,3000000,89328627,7541,6.3,86,158015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
About Time,2013-09-04,12000000,87100449,7375,7.903,123,122906,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
The Secret Life of Walter Mitty,2013-12-18,90000000,188133322,6799,7.158,114,116745,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
American Hustle,2013-12-03,40000000,251171807,6577,6.843,138,168672,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Croods,2013-03-15,135000000,587204668,6315,6.915,98,49519,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rush,2013-09-02,38000000,90247624,6259,7.706,123,96721,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Captain Phillips,2013-10-10,55000000,218791811,6121,7.557,134,109424,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Hansel & Gretel: Witch Hunters,2013-01-17,50000000,226349749,6114,6.012,88,60304,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Oz the Great and Powerful,2013-03-07,200000000,491868548,6075,5.893,130,68728,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
After Earth,2013-05-30,130000000,243843127,5989,5.194,100,82700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Olympus Has Fallen,2013-03-20,70000000,161025640,5956,6.374,120,117263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Good Day to Die Hard,2013-02-06,92000000,304654182,5770,5.299,98,47964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
This Is the End,2013-06-12,32000000,126041322,5691,6.224,107,109414,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Bodies,2013-01-31,35000000,116980662,5584,6.435,97,82654,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Kick-Ass 2,2013-07-17,28000000,60700000,5563,6.4,103,59859,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lone Ranger,2013-07-03,215000000,260502115,5354,6.087,149,57201,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ender's Game,2013-10-24,110000000,125537191,5201,6.584,114,80274,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Enemy,2013-12-31,0,3396726,5108,6.872,91,181886,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
G.I. Joe: Retaliation,2013-03-27,130000000,371876278,5042,5.586,110,72559,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The World's End,2013-07-18,20000000,46089287,4726,6.787,109,107985,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Percy Jackson: Sea of Monsters,2013-08-07,90000000,199850315,4675,6.02,106,76285,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Escape Plan,2013-10-09,50000000,122915111,4574,6.72,115,107846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jack the Giant Slayer,2013-02-27,195000000,197687603,4494,5.8,114,81005,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Place Beyond the Pines,2013-03-14,15000000,35485608,4324,6.951,140,97367,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
White House Down,2013-06-27,150000000,205366737,4221,6.431,131,117251,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Mortal Instruments: City of Bones,2013-08-21,60000000,95396573,4165,6.433,130,123553,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Carrie,2013-10-16,30000000,82394288,4013,6.02,100,133805,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
The Book Thief,2013-11-08,0,76586316,3977,7.484,131,203833,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pain & Gain,2013-04-18,25000000,87305549,3934,6.223,130,134374,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Jon,2013-09-12,3000000,0,3911,5.978,90,138697,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Evil Dead,2013-04-05,17000000,97542952,3881,6.478,96,109428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Internship,2013-06-07,58000000,44000000,3784,6.264,119,116741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mama,2013-01-17,15000000,146497771,3752,6.237,100,132232,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lone Survivor,2013-12-24,40000000,149295601,3714,7.4,121,193756,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Grown Ups 2,2013-07-11,80000000,247022278,3679,6.103,101,109418,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Host,2013-03-22,44000000,63327201,3670,6.286,125,72710,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Gangster Squad,2013-01-10,60000000,105200903,3655,6.346,113,82682,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Insidious: Chapter 2,2013-09-12,5000000,161000000,3645,6.668,106,91586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
